User,Card,Year,Month,Day,Amount,Merchant Name,MCC,Errors?,Is Fraud?,Hour,Minute
0,0,2015,1,26,3109,4241336128694185533,4814,,False,16,38
0,0,2015,3,22,4587,-4241409341442030551,7349,,False,20,49
0,0,2015,3,26,6976,-9092677072201095172,4900,,False,20,46
0,0,2015,4,13,14503,-9092677072201095172,4900,,False,13,25
0,0,2015,5,1,2163,4241336128694185533,4814,,False,16,40
0,0,2015,6,6,19871,-8338381919281017248,4899,,False,19,52
0,0,2015,6,11,4640,-4241409341442030551,7349,,False,20,37
0,0,2015,6,19,10202,-9092677072201095172,4900,Bad Expiration,False,9,34
0,0,2015,6,26,1725,-7421093378627544099,5311,,False,12,31
0,0,2015,7,7,7592,-9092677072201095172,4900,,False,10,29
0,0,2015,8,1,9679,-7421093378627544099,5311,Bad Expiration,False,6,26
0,0,2015,10,3,15748,4241336128694185533,4814,,False,20,13
0,0,2015,10,12,692,-521141999023077663,5815,,False,17,57
0,0,2015,10,24,5110,-4956618006720593695,5193,,False,8,6
0,0,2015,11,15,28713,-8194607650924472520,3001,,True,12,55
0,0,2015,11,15,241,-7759074308363763111,5651,,True,13,19
0,0,2015,11,16,5081,-551332107213382088,4411,,True,9,41
0,0,2015,11,16,24836,4872340518840476610,5732,,True,9,46
0,0,2015,11,16,47300,-8566951830324093739,3640,,True,11,20
0,0,2015,11,16,14449,-3650057525483423997,3007,,True,11,34
0,0,2015,11,16,4457,1913477460590765860,5300,,True,13,44
0,0,2015,11,17,6493,4645744106416199425,7996,,True,14,12
0,0,2015,11,17,12459,9057735476014445185,5311,,True,15,35
0,0,2015,11,17,9734,5625828905483550857,7922,,True,15,59
0,0,2015,11,17,1786,-3220758452254689706,5311,,True,16,5
0,0,2015,11,20,16211,-8566951830324093739,3640,,True,7,34
0,0,2015,11,20,-47300,-8566951830324093739,3640,,True,7,42
0,0,2015,12,2,14620,4241336128694185533,4814,,False,20,26
0,0,2015,12,24,14381,4241336128694185533,4814,,False,20,17
0,0,2016,1,18,10290,208649686760524778,5651,,False,16,57
0,0,2016,2,6,3903,5805127065224074672,7349,,False,20,18
0,0,2016,3,15,3258,4241336128694185533,4814,,False,17,14
0,0,2016,8,3,14785,7035602569409149834,5311,,False,5,2
0,0,2016,8,13,9550,-9092677072201095172,4900,,False,13,29
0,0,2016,10,3,5399,-9092677072201095172,4900,,False,20,39
0,0,2016,10,8,3807,4241336128694185533,4814,,False,16,45
0,0,2016,10,19,25292,4241336128694185533,4814,,False,20,51
0,0,2016,11,17,13056,-7421093378627544099,5311,,False,6,21
0,0,2016,11,25,14733,4241336128694185533,4814,,False,20,5
0,0,2016,11,25,5398,-9092677072201095172,4900,,False,20,31
0,0,2016,11,28,3178,4241336128694185533,4814,,False,16,47
0,0,2016,12,7,8858,-7421093378627544099,5311,,False,6,53
0,1,2015,1,1,605,-2042049018365856408,5815,,False,17,54
0,1,2015,2,2,698,7035602569409149834,5311,,False,19,7
0,1,2015,2,22,675,-2042049018365856408,5815,,False,17,57
0,1,2015,3,16,596,-2042049018365856408,5815,,False,17,4
0,1,2015,3,22,8566,7035602569409149834,5311,,False,6,28
0,1,2015,3,25,247,6455213054093379528,5815,,False,17,59
0,1,2015,4,9,2982,4241336128694185533,4814,,False,16,54
0,1,2015,4,9,4538,-4241409341442030551,7349,,False,19,46
0,1,2015,4,22,2491,4241336128694185533,4814,,False,16,33
0,1,2015,5,16,4978,-4241409341442030551,7349,,False,19,51
0,1,2015,6,20,606,-521141999023077663,5815,,False,17,46
0,1,2015,6,21,6688,-7421093378627544099,5311,,False,13,55
0,1,2015,6,25,4345,7272219750676920057,5193,,False,9,26
0,1,2015,7,11,4133,-9092677072201095172,4900,,False,20,37
0,1,2015,7,22,729,-521141999023077663,5815,,False,17,56
0,1,2015,9,1,704,-2042049018365856408,5815,,False,17,38
0,1,2015,9,17,4137,7272219750676920057,5193,,False,8,7
0,1,2015,10,15,4429,-9092677072201095172,4900,,False,20,35
0,1,2015,10,25,736,-521141999023077663,5815,,False,17,40
0,1,2015,11,2,12225,-9092677072201095172,4900,Insufficient Balance,False,13,23
0,1,2015,12,3,17344,-7421093378627544099,5311,,False,6,3
0,1,2015,12,9,4300,-9092677072201095172,4900,,False,21,58
0,1,2016,1,13,12864,-9092677072201095172,4900,,False,9,43
0,1,2016,5,6,9841,-7421093378627544099,5311,,False,6,3
0,1,2016,6,10,20457,4241336128694185533,4814,,False,20,15
0,1,2016,8,14,3945,170491238251862552,5193,,False,8,14
0,1,2016,9,4,605,-521141999023077663,5815,,False,17,42
0,1,2016,9,13,618,-2042049018365856408,5815,,False,17,44
0,1,2016,10,1,13067,7035602569409149834,5311,,False,6,12
0,1,2016,10,17,13010,-9092677072201095172,4900,,False,13,9
0,1,2016,10,28,16174,-9092677072201095172,4900,,False,13,25
0,1,2016,11,25,3526,-9092677072201095172,4900,,False,21,0
0,1,2016,12,2,523,-521141999023077663,5815,,False,17,31
0,2,2015,1,11,496,6455213054093379528,5815,,False,17,38
0,2,2015,1,12,13611,-9092677072201095172,4900,,False,9,36
0,2,2015,2,7,11305,-9092677072201095172,4900,,False,9,48
0,2,2015,2,15,4004,7272219750676920057,5193,,False,8,1
0,2,2015,2,28,9833,7035602569409149834,5311,,False,6,21
0,2,2015,3,2,888,-2042049018365856408,5815,,False,17,45
0,2,2015,5,22,12616,4241336128694185533,4814,,False,20,58
0,2,2015,7,1,10778,7035602569409149834,5311,,False,6,6
0,2,2015,7,15,4127,-4241409341442030551,7349,,False,20,34
0,2,2015,8,1,12351,-7421093378627544099,5311,,False,6,12
0,2,2015,11,2,14265,-9092677072201095172,4900,,False,13,26
0,2,2015,11,7,4193,5805127065224074672,7349,,False,20,1
0,2,2015,11,9,813,6455213054093379528,5815,,False,16,58
0,2,2015,11,16,8734,-7421093378627544099,5311,,False,6,33
0,2,2015,11,23,16053,8528733969764750207,4899,,False,20,4
0,2,2015,11,25,3629,7035602569409149834,5311,,False,11,58
0,2,2016,1,23,5146,-4241409341442030551,7349,,False,20,47
0,2,2016,2,11,623,6455213054093379528,5815,,False,17,45
0,2,2016,3,6,29786,-3220758452254689706,5311,,True,12,10
0,2,2016,3,18,11923,-7421093378627544099,5311,,False,6,2
0,2,2016,3,25,16126,-9092677072201095172,4900,,False,13,49
0,2,2016,4,18,1180,7035602569409149834,5311,,False,16,42
0,2,2016,5,21,12636,-7421093378627544099,5311,,False,6,16
0,2,2016,7,13,586,-521141999023077663,5815,,False,17,47
0,2,2016,7,14,411,-521141999023077663,5815,,False,17,50
0,2,2016,7,19,3588,7272219750676920057,5193,,False,8,18
0,2,2016,8,4,6247,-6796080605569913348,4722,Insufficient Balance,False,7,2
0,2,2016,9,3,809,6455213054093379528,5815,,False,17,43
0,2,2016,9,18,4863,-9092677072201095172,4900,,False,20,44
0,2,2016,10,5,50431,-886027770047724904,6300,,False,19,44
0,2,2016,10,28,17757,-2392212127717286832,4899,,False,21,26
0,2,2016,11,9,19286,-2392212127717286832,4899,,False,19,44
0,3,2015,1,4,31330,4168533264539032113,6300,,False,19,34
0,3,2015,1,24,14992,-9092677072201095172,4900,,False,13,20
0,3,2015,2,3,16200,333722291367506728,4722,,False,23,0
0,3,2015,2,4,16576,-9092677072201095172,4900,,False,9,47
0,3,2015,2,13,12037,-7421093378627544099,5311,Insufficient Balance,False,6,7
0,3,2015,2,13,14481,-7421093378627544099,5311,,False,6,16
0,3,2015,2,14,-16200,333722291367506728,4722,,False,4,13
0,3,2015,2,14,17727,333722291367506728,4722,,False,4,26
0,3,2015,2,24,3745,4241336128694185533,4814,,False,16,35
0,3,2015,2,27,14080,-7421093378627544099,5311,,False,5,33
0,3,2015,2,27,13964,-7421093378627544099,5311,,False,6,4
0,3,2015,3,2,4736,7272219750676920057,5193,,False,8,11
0,3,2015,3,9,4167,-4241409341442030551,7349,,False,20,49
0,3,2015,3,11,206,208649686760524778,5651,,False,10,59
0,3,2015,3,15,14168,4241336128694185533,4814,,False,20,3
0,3,2015,3,20,3355,4241336128694185533,4814,,False,16,47
0,3,2015,3,24,19393,4241336128694185533,4814,,False,20,4
0,3,2015,4,6,13887,4241336128694185533,4814,,False,20,17
0,3,2015,4,8,36100,7501849281341469857,4722,,False,2,1
0,3,2015,4,8,11792,7501849281341469857,4722,Insufficient Balance,False,2,23
0,3,2015,4,10,14209,7501849281341469857,4722,,False,19,45
0,3,2015,4,10,-36100,7501849281341469857,4722,,False,19,56
0,3,2015,4,16,2541,4241336128694185533,4814,,False,17,18
0,3,2015,5,6,23218,815048164705147981,6300,,False,19,42
0,3,2015,5,11,11609,-7421093378627544099,5311,,False,6,11
0,3,2015,5,12,34320,3900920090343001383,6300,,False,19,52
